Nitrogen_sp,Season,day_rep,time,blade_rep,uptake_rate,p_uptake,pct_N_final,pct_N_initial
ammonium,summer,3,1,2,0.017870385,4.495258544,1.5094,1.508924474
ammonium,summer,3,1,3,0.046809764,5.682987168,0.7285,0.727910387
ammonium,summer,3,5,1,0.033465642,3.8049037,0.6822,0.68032141
ammonium,summer,3,5,2,0.009187095,3.155891421,2.0612,2.059644459
ammonium,summer,3,5,3,0.056191886,7.716067176,0.8239,0.820115432
ammonium,summer,3,15,1,0.010485345,2.355566495,1.3480,1.344504585
ammonium,summer,3,15,2,0.006985282,1.575636138,1.3535,1.351130747
ammonium,summer,3,15,3,0.016594939,1.988614245,0.7190,0.71607182
ammonium,summer,3,45,1,0.011262614,1.35027084,0.7194,0.71334295
ammonium,summer,3,45,2,0.007151783,2.27164432,1.9059,1.895871525
ammonium,summer,3,45,3,0.004613849,1.076753886,1.4003,1.395542114
ammonium,summer,4,1,1,0.021372044,5.459388235,1.5328,1.532215053
ammonium,summer,4,1,2,0.018302495,5.925070673,1.9425,1.941902779
ammonium,summer,4,1,3,0.046523285,9.073719587,1.1703,1.16938149
ammonium,summer,4,5,1,0.015739177,5.013584004,1.9114,1.908891963
ammonium,summer,4,5,2,0.00554077,1.496634266,1.6208,1.620027613
ammonium,summer,4,5,3,0.013746861,4.227385958,1.8452,1.843121353
ammonium,summer,4,15,1,0.007849558,1.382060462,1.0565,1.054415877
ammonium,summer,4,15,2,0.01643959,2.632835958,0.9610,0.957052216
ammonium,summer,4,15,3,0.003636834,1.141560419,1.8834,1.881750186
ammonium,summer,4,45,1,0.003716097,1.34868661,2.1777,2.171762982
ammonium,summer,4,45,2,0.00477215,1.594583242,2.0050,1.997934862
ammonium,summer,4,45,3,0.008478515,2.886852763,2.0431,2.030322947
ammonium,summer,5,1,1,0.004663916,1.148479551,1.4776,1.477452198
ammonium,summer,5,1,2,0.009241379,3.315623271,2.1528,2.152469921
ammonium,summer,5,1,3,0.016191747,5.804254505,2.1509,2.150365172
ammonium,summer,5,5,1,0.00613554,2.208228159,2.1596,2.158479903
ammonium,summer,5,5,2,0.005994778,1.834941942,1.8366,1.835736574
ammonium,summer,5,5,3,0.005657537,1.843197329,1.9549,1.953969718
ammonium,summer,5,15,1,0.005932458,1.770754037,1.7910,1.788400162
ammonium,summer,5,15,2,0.003148282,1.071691471,2.0425,2.040963865
ammonium,summer,5,15,3,0.007102336,2.221896903,1.8771,1.873870378
ammonium,summer,5,45,1,0.003548767,1.207963564,2.0424,2.037120342
ammonium,summer,5,45,2,0.005337601,1.197075324,1.3457,1.340389225
ammonium,summer,5,45,3,0.003470229,1.245706452,2.1539,2.148445595
nitrate,spring,1,1,1,0.009902515,2.06104632,1.2489,1.248664079
nitrate,spring,1,1,2,0.014962799,2.505473963,1.0047,1.004486224
nitrate,spring,1,1,3,0.011417588,2.337347856,1.2284,1.22812196
nitrate,spring,1,5,1,0.004867724,1.453219668,1.7913,1.790632476
nitrate,spring,1,5,2,0.003468609,1.34788594,2.3317,2.331037813
nitrate,spring,1,5,3,0.00528328,1.066910734,1.2117,1.211182688
