Nitrogen_sp,Season,day_rep,time,interval,uptake_rate,p_uptake,pct_N_final,pct_N_initial 
nitrate,summer,5,1,1,0.00734011,0.186121524,1.9401,1.9435
nitrate,summer,5,5,4,0.005754388,0.131343039,2.1671,2.1269
nitrate,summer,5,15,10,0.000678885,0.010639466,1.8270,1.9011
nitrate,summer,5,45,30,0.002119303,0.056769487,2.2946,2.1871
urea,spring,1,1,1,0.006008381,0.094418899,1.4568,1.4680
urea,spring,1,5,4,0.003868589,0.06719506,1.8027,1.7087
urea,spring,1,15,10,0.004862417,0.052891975,0.7476,0.7416
urea,spring,1,45,30,0.004490268,0.057024812,1.0647,1.0712
urea,spring,2,1,1,0.003184144,0.054131619,1.4641,1.4501
urea,spring,2,5,4,0.003399312,0.054556413,1.3308,1.3371
urea,spring,2,15,10,0.003583836,0.037160566,0.8745,1.0366
urea,spring,2,45,30,0.004999384,0.056280893,0.9254,0.9652
urea,spring,3,1,1,0.002614669,0.053655092,1.8078,1.8190
urea,spring,3,5,4,0.00188274,0.043662802,1.9252,1.9041
urea,spring,3,15,10,0.00056011,0.015443362,2.1883,2.1026
urea,spring,3,45,30,0.003277466,0.045171038,0.9194,1.3080
urea,spring,4,1,1,0.001002189,0.026542779,2.2820,2.2861
urea,spring,4,5,4,0.001347525,0.031180503,2.1544,2.1999
urea,spring,4,15,10,0.001654604,0.041164456,2.0322,2.0774
urea,spring,4,45,30,0.001858147,0.047410605,2.1470,2.1249
urea,spring,5,1,1,0.003492377,0.055976851,1.2853,1.2865
urea,spring,5,5,4,0.00738377,0.099048556,1.2029,1.2337
urea,spring,5,15,10,0.004958938,0.069883711,1.1915,1.1935
urea,spring,5,45,30,0.000759561,0.032551047,1.9492,1.6852
urea,summer,1,1,1,0.003055763,0.061281345,1.9497,1.9333
urea,summer,1,5,4,0.005835263,0.094081598,1.2925,1.3996
urea,summer,1,15,10,0.008380774,0.131822471,1.5336,1.4803
urea,summer,1,45,30,0.001005363,0.031922387,1.7204,1.6833
urea,summer,2,1,1,,,2.1623,2.1610
urea,summer,2,5,4,0.003068623,0.065654064,1.8246,1.8913
urea,summer,2,15,10,0.003701301,0.095045604,2.4359,2.2448
urea,summer,2,45,30,0.001790163,0.038304491,1.7778,1.9446
urea,summer,3,1,1,0.005769973,0.078302919,1.2356,1.2262
urea,summer,3,5,4,0.005160631,0.048592412,1.2956,1.2886
urea,summer,3,15,10,0.001613357,0.054822267,1.8831,1.6839
urea,summer,3,45,30,0.007439789,0.071053942,0.7453,1.0986
urea,summer,4,1,1,0.001245361,0.01325558,1.3906,1.3704
urea,summer,4,5,4,0.000707713,0.019333647,2.1474,1.9946
urea,summer,4,15,10,0.00031253,0.008122924,2.0046,1.9985
urea,summer,4,45,30,0.007259205,0.090860675,0.8548,1.2736
urea,summer,5,1,1,0.002465062,0.056764001,1.9459,1.9377
urea,summer,5,5,4,0.00188918,0.043563995,1.9469,1.9368
urea,summer,5,15,10,0.003577733,0.083357612,2.0554,2.0062
urea,summer,5,45,30,0.003549687,0.05939392,1.6219,1.7571
